Entity,Code,Year,2_1_GDPPC_Growth
abc,TKM,1996,93.2086
abc,TKM,1997,-264.184
abc,TKM,1998,102.49
abc,TKM,1999,288.253
abc,TKM,2000,94.3694
abc,TKM,2001,74.3086
abc,TKM,2002,-17.5234
abc,TKM,2003,52.8667
abc,TKM,2004,94.3999
abc,TKM,2005,294.478
abc,TKM,2006,270.143
abc,TKM,2007,296.228
abc,TKM,2008,441.777
abc,TKM,2009,173.451
abc,TKM,2010,297.576
abc,TKM,2011,544.947
abc,TKM,2012,438.808
abc,TKM,2013,429.315
abc,TKM,2014,470.407
abc,TKM,2015,283.259
abc,TKM,2016,281.692
abc,TKM,2017,318.081
abc,TKM,2018,317.001
abc,TKM,2019,343.12
abc,ARE,1976,153.547
abc,ARE,1977,5329.66
abc,ARE,1978,-14046.9
abc,ARE,1979,7663.51
abc,ARE,1980,13021
abc,ARE,1981,-3011.09
abc,ARE,1982,-13225.2
abc,ARE,1983,-9229.22
abc,ARE,1984,-1075.82
abc,ARE,1985,-7388.54
abc,ARE,1986,-15276.4
abc,ARE,1987,-1554.54
abc,ARE,1988,-4997.32
abc,ARE,1989,3303.6
abc,ARE,1990,6903.87
abc,ARE,1991,-3169.55
abc,ARE,1992,-1559.53
abc,ARE,1993,-2661.26
abc,ARE,1994,731.406
abc,ARE,1995,804.359
abc,ARE,1996,379.508
abc,ARE,1997,1716.35
abc,ARE,1998,-2966.99
abc,ARE,1999,-1422.85
abc,ARE,2000,2841.18
abc,ARE,2001,-2294.41
abc,ARE,2002,-1606.78
abc,ARE,2003,1117.16
abc,ARE,2004,-22.0195
abc,ARE,2005,-4065.51
abc,ARE,2006,-2647.37
abc,ARE,2007,-5808.67
abc,ARE,2008,-4633.57
abc,ARE,2009,-6174.9
abc,ARE,2010,-2045.4
abc,ARE,2011,711.322
abc,ARE,2012,750.398
abc,ARE,2013,1499.23
abc,ARE,2014,1499.94
abc,ARE,2015,1667.7
abc,ARE,2016,736.617
abc,ARE,2017,398.504
abc,ARE,2018,-127.594
abc,ARE,2019,767.41
abc,ARE,2020,-2940.75
abc,UZB,1988,96.4313
abc,UZB,1989,10.0402
abc,UZB,1990,-21.1346
abc,UZB,1991,-40.567
abc,UZB,1992,-202.178
abc,UZB,1993,-59.4628
abc,UZB,1994,-88.9767
abc,UZB,1995,-31.4092
abc,UZB,1996,-2.59131
abc,UZB,1997,36.8948
abc,UZB,1998,31.0181
abc,UZB,1999,38.4452
abc,UZB,2000,30.0225
abc,UZB,2001,36.432
abc,UZB,2002,35.5715
abc,UZB,2003,40.8234
abc,UZB,2004,86.3824
abc,UZB,2005,84.3224
abc,UZB,2006,95.9305
abc,UZB,2007,131.268
abc,UZB,2008,130.359
abc,UZB,2009,119.732
abc,UZB,2010,93.7761
abc,UZB,2011,99.6951
abc,UZB,2012,123.541
abc,UZB,2013,132.651
abc,UZB,2014,126.504
abc,UZB,2015,140.223
abc,UZB,2016,113.08
abc,UZB,2017,76.0481
abc,UZB,2018,104.209
abc,UZB,2019,114.107
abc,UZB,2020,-7.00708
abc,YEM,1991,24.046
abc,YEM,1992,57.0608
abc,YEM,1993,-25.156
abc,YEM,1994,37.1248
abc,YEM,1995,27.9084
abc,YEM,1996,18.9182
abc,YEM,1997,41.3674
abc,YEM,1998,65.5615
abc,YEM,1999,20.3262
abc,YEM,2000,74.0493
abc,YEM,2001,20.3384
abc,YEM,2002,23.4385
abc,YEM,2003,19.1594
abc,YEM,2004,24.9326
abc,YEM,2005,64.5718
abc,YEM,2006,7.01929
abc,YEM,2007,11.4451
abc,YEM,2008,19.448
abc,YEM,2009,25.3889
abc,YEM,2010,123.031
abc,YEM,2011,-411.316
abc,YEM,2012,-9.05688
abc,YEM,2013,46.3694
abc,YEM,2014,-65.8257
abc,YEM,2015,-680.862
abc,YEM,2016,-185.991
abc,YEM,2017,-103.996
abc,YEM,2018,-20.9181
